timestamp,symbol,industry,sector,signal,market_direction,nifty100_direction,industry_direction,sector_direction,stock_direction,stock_today_direction,previous_day_aligned,previous_day_direction,breakout_level,pdc,today_open,today_low,today_high,entry,stop_loss,target,quantity,risk_reward,risk_per_share,actual_risk,position_value,setup_type,entry_candle_open,entry_candle_close,approved,reason
2026-08-13T09:51:00+05:30,HINDZINC,Metals & Mining,Metals & Mining,SELL,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,584.55,584.6,584.55,581.25,588.65,583.6,588.65,576.02,,1.5,5.05,1499.85,173329.2,GAP_FAILURE_OPEN_RECLAIM,584.75,583.6,True,
2026-08-13T09:51:00+05:30,HINDZINC,Metals & Mining,Metals & Mining,SELL,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,584.55,584.6,584.55,581.25,588.65,583.6,588.65,576.02,,1.5,5.05,1499.85,173329.2,GAP_FAILURE_OPEN_RECLAIM,584.75,583.6,True,
2026-08-13T10:15:00+05:30,CUMMINSIND,Industrials,Industrials,SELL,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,5364.0,5378.5,5364.0,5348.0,5384.0,5363.5,5384.0,5332.75,,1.5,20.5,943.0,246721.0,GAP_FAILURE_OPEN_RECLAIM,5365.0,5363.5,False,Actual risk Rs 943.00 is below minimum required Rs 1400.00
2026-08-13T10:29:00+05:30,KOTAKBANK,Financial Services,Financial Services,SELL,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,389.75,390.5,389.75,388.55,391.55,389.65,391.55,386.8,,1.5,1.9,1217.9,249765.65,GAP_FAILURE_OPEN_RECLAIM,389.95,389.65,False,Risk:Reward 1.50 is below minimum 1:1.5; Actual risk Rs 1217.90 is below minimum required Rs 1400.00
2026-08-13T11:13:00+05:30,ONGC,Energy,Energy,SELL,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,238.85,239.05,238.85,238.23,239.84,238.82,239.84,237.29,,1.5,1.02,1066.92,249805.72,GAP_FAILURE_OPEN_RECLAIM,238.93,238.82,False,Actual risk Rs 1066.92 is below minimum required Rs 1400.00
2026-08-13T11:27:00+05:30,TCS,Technology,Technology,SELL,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,2349.7,2349.7,2349.7,2333.0,2351.2,2346.7,2351.2,2339.95,,1.5,4.5,477.0,248750.2,GAP_FAILURE_OPEN_RECLAIM,2350.7,2346.7,False,Actual risk Rs 477.00 is below minimum required Rs 1400.00
2026-08-13T11:49:00+05:30,BAJAJ-AUTO,Consumer Cyclical,Consumer Cyclical,SELL,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,11689.0,11700.0,11689.0,11609.0,11722.0,11681.0,11722.0,11619.5,,1.5,41.0,861.0,245301.0,GAP_FAILURE_OPEN_RECLAIM,11693.0,11681.0,False,Actual risk Rs 861.00 is below minimum required Rs 1400.00
2026-08-13T09:51:00+05:30,HINDZINC,Basic Materials,Basic Materials,SELL,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,584.55,584.6,584.55,581.05,594.65,583.6,594.65,567.02,,1.5,11.05,1491.75,78786.0,GAP_FAILURE_OPEN_RECLAIM,584.75,583.6,True,
2026-08-13T09:51:00+05:30,HINDZINC,Basic Materials,Basic Materials,SELL,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,584.55,584.6,584.55,581.05,594.65,583.6,594.65,567.02,,1.5,11.05,1491.75,78786.0,GAP_FAILURE_OPEN_RECLAIM,584.75,583.6,True,
2026-08-13T09:51:00+05:30,HINDZINC,Basic Materials,Basic Materials,SELL,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,584.55,584.6,584.55,581.05,594.65,583.6,594.65,567.02,,1.5,11.05,1491.75,78786.0,GAP_FAILURE_OPEN_RECLAIM,584.75,583.6,True,
