trade_id,symbol,stock,industry,sector,signal,buy_sell,entry_time,entry,stop_loss,target,quantity,exit_time,exit_price,exit_reason,risk,reward,rr,pnl,risk_per_share,actual_risk,position_value,breakout_level,pdc,today_open,today_low,today_high,market_direction,nifty100_direction,industry_direction,sector_direction,stock_direction,stock_today_direction,previous_day_aligned,previous_day_direction,setup_type,entry_candle_open,entry_candle_close,status
PAPER-0001,TATACAP,TATACAP,Financial Services,Financial Services,SELL,SELL,2026-08-13T09:47:00+05:30,364.8,367.45,360.82,566,2026-08-13T15:00:00+05:30,364.55,SQUARE_OFF,1499.9,2252.68,1.5019,141.5,2.65,1499.9,206476.8,365.25,367.05,365.25,364.75,367.45,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,GAP_FAILURE_OPEN_RECLAIM,365.5,364.8,CLOSED
PAPER-0002,POLYCAB,POLYCAB,Industrials,Industrials,SELL,SELL,2026-08-14T10:02:00+05:30,9273.5,9328.5,9204.75,26,,,,1430.0,1787.5,1.25,,55.0,1430.0,241111.0,9280.0,9297.0,9280.0,9225.0,9328.5,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,GAP_FAILURE_OPEN_RECLAIM,9255.5,9273.5,OPEN
MISSED-CAPITAL-20260814 095500p053-ADANIPOWER,ADANIPOWER,ADANIPOWER,Utilities,Utilities,SELL,,2026-08-14T09:55:00+05:30,205.87,207.99,203.22,707,,,MISSED_CAPITAL: Insufficient available capital,1498.84,1873.55,1.25,,2.12,1498.84,145550.09,205.9,206.1,205.9,205.37,207.99,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,BEARISH,True,BEARISH,GAP_FAILURE_OPEN_RECLAIM,205.84,205.87,MISSED_CAPITAL_OPEN
